amount,end_block,start_block,borrower,account,no_of_block
12.757881580883476,20487307,20379307,0xDB611d682cb1ad72fcBACd944a8a6e2606a6d158,0x68ED290cFe02B595606BEAC1001D0F5A98b664Ed,108000
0.000000000000000002,20487307,20379307,0xc2eDdAE2045D48223166d1CAB66fED3c7C97c9d6,0x6a1ed2D2F752A01b34ECf26A27a6BD40abC4d459,108000
772.7556306400679,20487307,20379307,0x1fD7DAe8CE6190509486e657629975e10eCFeF60,0x6C7855A6a7A97f746E2B9E24b856A789Ae0A67AC,108000
308.1599214217999,20487307,20379307,0xdF25BF103CFE63b5c6354B7D48396F1Edee74B98,0x6ca783b4888b2F5f070F124A7519D7888416EB3F,108000
9.362604162256742,20487307,20379307,0x0035Fc5208eF989c28d47e552E92b0C507D2B318,0x6Cd37F75e0bf2314bc94dd55C30bCb9018f3e876,108000
101.22932280689194,20487307,20379307,0x9Fcb35710Dba03AaC96058fbA8E98e96BABa9588,0x6ee1440fC3F9d6D0895de478258eB7b075694807,108000
0.45433982395488665,20487307,20379307,0x84c8438276003528B11FD5850A69EEF24e879f23,0x70fB74248D257f700A891011474Ac0906cde14d2,108000
358.7796839395373,20487307,20379307,0xA1a676BFc120a256c0E0ee29103F5cC8A6586721,0x7139ce2c735fEd1576Dee7149ca8F84C6A15462D,108000
710.8146145444863,20487307,20379307,0x9CBF099ff424979439dFBa03F00B5961784c06ce,0x71780DC93D482809593E881F78ebBb409963e373,108000
455.7509677603925,20487307,20379307,0x5Db2d2a055466E0C5d4CF09869cF2E2CFc47b157,0x71C2f23aD5A3765B3277e4dE4E8953b9409De933,108000
721.3245299743307,20487307,20379307,0x26563EEdB269448352Ba0663f2EE554FBd389296,0x71ea128E53FAcEbF20D927161E0e9c39d4A29713,108000
250.8732991113878,20487307,20379307,0x193F0Ee42a199A0CECD479a9F09BA293eB1CA357,0x72319bBBfc34DdFd1C4a7537cFd5314Ba90ea8C6,108000
39.97274204358163,20487307,20379307,0xBf02910A77281F3c279ee45dA17c3BE8163b108f,0x729dD360C76F0df1Ad3561127782557611281471,108000
176.34804888143478,20487307,20379307,0xa7db09C8d69E38fF15279FBAE2561a50F38dF4B5,0x72d634bDE9F3F1D8eCeE1C3CA92248f19848BC1f,108000
170.94311077331758,20487307,20379307,0x14975679e5f87c25fa2c54958e735a79B5B93043,0x732C37c8CBACF81BB178cC61d4Ead0356aeE9AE7,108000
